usage_id,measure_word_id,usage_order,classifier_hanzi,classifier_pinyin_numeric,review_status,notes
measure_1_0003_爸爸-usage-01,measure_1_0003_爸爸,1,个,ge4,legacy_unreviewed,
measure_1_0003_爸爸-usage-02,measure_1_0003_爸爸,2,位,wei4,legacy_unreviewed,
measure_1_0005_白天-usage-01,measure_1_0005_白天,1,个,ge4,legacy_unreviewed,
measure_1_0008_包子-usage-01,measure_1_0008_包子,1,个,ge4,legacy_unreviewed,
measure_1_0009_杯子-usage-01,measure_1_0009_杯子,1,个,ge4,legacy_unreviewed,
measure_1_0009_杯子-usage-02,measure_1_0009_杯子,2,只,zhi1,legacy_unreviewed,
measure_1_0011_边-usage-01,measure_1_0011_边,1,个,ge4,legacy_unreviewed,
measure_1_0012_病-usage-01,measure_1_0012_病,1,场,chang2,legacy_unreviewed,
measure_1_0016_菜-usage-01,measure_1_0016_菜,1,棵,ke1,legacy_unreviewed,
measure_1_0016_菜-usage-02,measure_1_0016_菜,2,样,yang4,legacy_unreviewed,
measure_1_0016_菜-usage-03,measure_1_0016_菜,3,道,dao4,legacy_unreviewed,
measure_1_0016_菜-usage-04,measure_1_0016_菜,4,盘,pan2,legacy_unreviewed,
measure_1_0017_茶-usage-01,measure_1_0017_茶,1,杯,bei1,legacy_unreviewed,
measure_1_0017_茶-usage-02,measure_1_0017_茶,2,壶,hu2,legacy_unreviewed,
measure_1_0019_超市-usage-01,measure_1_0019_超市,1,家,jia1,legacy_unreviewed,
measure_1_0020_车-usage-01,measure_1_0020_车,1,辆,liang4,legacy_unreviewed,
measure_1_0027_大学-usage-01,measure_1_0027_大学,1,所,suo3,legacy_unreviewed,
measure_1_0032_弟弟-usage-01,measure_1_0032_弟弟,1,个,ge4,legacy_unreviewed,
measure_1_0032_弟弟-usage-02,measure_1_0032_弟弟,2,位,wei4,legacy_unreviewed,
measure_1_0034_店-usage-01,measure_1_0034_店,1,家,jia1,legacy_unreviewed,
measure_1_0035_电话-usage-01,measure_1_0035_电话,1,部,bu4,legacy_unreviewed,
measure_1_0035_电话-usage-02,measure_1_0035_电话,2,通,tong1,legacy_unreviewed,
measure_1_0036_电脑-usage-01,measure_1_0036_电脑,1,台,tai2,legacy_unreviewed,
measure_1_0037_电视-usage-01,measure_1_0037_电视,1,台,tai2,legacy_unreviewed,
measure_1_0037_电视-usage-02,measure_1_0037_电视,2,部,bu4,legacy_unreviewed,
measure_1_0038_电影-usage-01,measure_1_0038_电影,1,部,bu4,legacy_unreviewed,
measure_1_0038_电影-usage-02,measure_1_0038_电影,2,片,pian4,legacy_unreviewed,
measure_1_0038_电影-usage-03,measure_1_0038_电影,3,场,chang3,legacy_unreviewed,
measure_1_0039_电影院-usage-01,measure_1_0039_电影院,1,家,jia1,legacy_unreviewed,
measure_1_0039_电影院-usage-02,measure_1_0039_电影院,2,座,zuo4,legacy_unreviewed,
measure_1_0040_东西-usage-01,measure_1_0040_东西,1,个,ge4,legacy_unreviewed,
