grammar_lesson_id,grammar_element_id,relation_role,relation_order,review_status,notes
glesson_1412363f764e4b6e804c4a579f649313,gelement_b7265b28c7a144e9bab354737b6b130a,primary,1,approved,
glesson_1412363f764e4b6e804c4a579f649313,gelement_11f2932a68b542959aa47b381f73722c,primary,2,approved,
glesson_47131ae8ea394437a5297f42b342b73d,gelement_ec6cc25b0b79442e8d9d74398d1a25bb,primary,1,approved,
glesson_47131ae8ea394437a5297f42b342b73d,gelement_b059836e59534709a8d930279ed5aa9f,primary,2,approved,
glesson_a9c2ecd6c785436fa03139619ca2affd,gelement_dd36f653115140b8b5cbdeae4c7a48d7,primary,1,approved,
glesson_a9c2ecd6c785436fa03139619ca2affd,gelement_3a89107ea0c9479fbba9eefa3ddb8e3b,primary,2,approved,
glesson_a9c2ecd6c785436fa03139619ca2affd,gelement_8893c46c640c4e0f972964d90ebd7746,primary,3,approved,
glesson_a9c2ecd6c785436fa03139619ca2affd,gelement_8890d75b356e4f6d9aa73c4956850994,primary,4,approved,
glesson_a9c2ecd6c785436fa03139619ca2affd,gelement_9c669e02d275445aaaab5a1eb702b28d,primary,5,approved,
glesson_a9c2ecd6c785436fa03139619ca2affd,gelement_7a6b73d3fadb4ff68215bac3c78e62c7,primary,6,approved,
glesson_6fbcb4305c5d4a5d88bf76bae817835f,gelement_8a66dc49c9064b849508e0d2bb882bca,primary,1,approved,
glesson_6fbcb4305c5d4a5d88bf76bae817835f,gelement_f9917ba47bb148e1a82b18665150de7b,primary,2,approved,
glesson_5e7f55241f214616ac7cde0dbdddfd71,gelement_473a08dc7c22489c91b55e1c91d7b2d0,primary,1,approved,
glesson_5e7f55241f214616ac7cde0dbdddfd71,gelement_d1973bcb87784417bbcf30b76daaf423,primary,2,approved,
glesson_5a426c2d10734028a3898347249529d4,gelement_ec0fb2388c444048a275bd0b9e921736,primary,1,approved,
glesson_bb78882713cf4b49876d78dacf6ebf54,gelement_f6ef9004ee814a6f955a622e9f17a2ac,primary,1,approved,
glesson_bb78882713cf4b49876d78dacf6ebf54,gelement_1f932c3643834ff1b5f17478af6106dc,primary,2,approved,
glesson_bb78882713cf4b49876d78dacf6ebf54,gelement_2ef2ef38ea874b10bf3fe1ae14646015,primary,3,approved,
glesson_bb78882713cf4b49876d78dacf6ebf54,gelement_d8cb8d87f0a3453ba9c91b766ef8581e,primary,4,approved,
glesson_bb78882713cf4b49876d78dacf6ebf54,gelement_56be7ae0c57b46fcba3965aa2ffb1f4a,primary,5,approved,
glesson_bb78882713cf4b49876d78dacf6ebf54,gelement_cc70eb067ec74defb87b1f910f6d08ae,primary,6,approved,
glesson_bb78882713cf4b49876d78dacf6ebf54,gelement_6c8b1a69a18843429241619463b7012c,primary,7,approved,
glesson_bb78882713cf4b49876d78dacf6ebf54,gelement_df6521e1d5c542aaac9683b2b66b5962,primary,8,approved,
glesson_43642677d6364b81a48e4506d8a0105c,gelement_e1b5e1e7c67f47d0b664978a0b78a5e3,primary,1,approved,
glesson_43642677d6364b81a48e4506d8a0105c,gelement_e2e6b0ad870c433f9b5aa7b28a292157,primary,2,approved,
glesson_43642677d6364b81a48e4506d8a0105c,gelement_c76105f99e524b96abc79b157e318b81,primary,3,approved,
glesson_43642677d6364b81a48e4506d8a0105c,gelement_8460ff6431a6487c879eed60b20ac484,primary,4,approved,
glesson_43642677d6364b81a48e4506d8a0105c,gelement_0d700183d2cd43f088f9cba3b3c9ec81,primary,5,approved,
glesson_43642677d6364b81a48e4506d8a0105c,gelement_225786b93017465da39a94ba6ab5a673,primary,6,approved,
glesson_43642677d6364b81a48e4506d8a0105c,gelement_eaa3ae93dc6e4b3fa66e83335270f434,primary,7,approved,
