grammar_lesson_id,grammar_point_id,relation_role,relation_order,coverage_note_en,review_status,notes
glesson_1412363f764e4b6e804c4a579f649313,hsk26-g1-001,primary,1,Primary learner coverage for hsk26-g1-001.,approved,
glesson_47131ae8ea394437a5297f42b342b73d,hsk26-g1-002,primary,1,Primary learner coverage for hsk26-g1-002.,approved,
glesson_a9c2ecd6c785436fa03139619ca2affd,hsk26-g1-003,primary,1,Primary learner coverage for hsk26-g1-003.,approved,
glesson_6fbcb4305c5d4a5d88bf76bae817835f,hsk26-g1-004,primary,1,Primary learner coverage for hsk26-g1-004.,approved,
glesson_5e7f55241f214616ac7cde0dbdddfd71,hsk26-g1-005,primary,1,Primary learner coverage for hsk26-g1-005.,approved,
glesson_5a426c2d10734028a3898347249529d4,hsk26-g1-006,primary,1,Primary learner coverage for hsk26-g1-006.,approved,
glesson_bb78882713cf4b49876d78dacf6ebf54,hsk26-g1-007,primary,1,Primary learner coverage for hsk26-g1-007.,approved,
glesson_43642677d6364b81a48e4506d8a0105c,hsk26-g1-008,primary,1,Primary learner coverage for hsk26-g1-008.,approved,
glesson_1a3df179f68d4d33aa38254927c24dbc,hsk26-g1-009,primary,1,Primary learner coverage for hsk26-g1-009.,approved,
glesson_6360c8ccc591431488f7006797127eb7,hsk26-g1-010,primary,1,Primary learner coverage for hsk26-g1-010.,approved,
glesson_d7cad090d9554245a5dbed09caa87826,hsk26-g1-011,primary,1,Primary learner coverage for hsk26-g1-011.,approved,
glesson_92993e435fd2485884e66731507a89a7,hsk26-g1-012,primary,1,Primary learner coverage for hsk26-g1-012.,approved,
glesson_ffcb8ee873944afc831b07219d8b60c4,hsk26-g1-013,primary,1,Primary learner coverage for hsk26-g1-013.,approved,
glesson_366fff0d896542d0921adc449244e8df,hsk26-g1-014,primary,1,Primary learner coverage for hsk26-g1-014.,approved,
glesson_16cda7aefaaf49eebd4327366d43cb10,hsk26-g1-015,primary,1,Primary learner coverage for hsk26-g1-015.,approved,
glesson_4352b1a2159746fd89c742e39cd0668f,hsk26-g1-016,primary,1,Primary learner coverage for hsk26-g1-016.,approved,
glesson_ba7347a31d784cbca5182e1d566478fe,hsk26-g1-017,primary,1,Primary learner coverage for hsk26-g1-017.,approved,
glesson_25b211801b454d9ba2a99a519ff3d998,hsk26-g1-018,primary,1,Primary learner coverage for hsk26-g1-018.,approved,
glesson_7fb2f8481a4c4d02942993747c989fcc,hsk26-g1-019,primary,1,Primary learner coverage for hsk26-g1-019.,approved,
glesson_8045fc9617b844d1bea15d13eeab2498,hsk26-g1-020,primary,1,Primary learner coverage for hsk26-g1-020.,approved,
glesson_774188c53155422ea5f9f9d9176814f4,hsk26-g1-021,primary,1,Primary learner coverage for hsk26-g1-021.,approved,
glesson_74aaea9ca06346b8b9c1126fb6e0915e,hsk26-g1-022,primary,1,Primary learner coverage for hsk26-g1-022.,approved,
