grammar_point_id,level_min,level_max,row_order,category_zh,category_en,category_name_zh,category_name_en,subitem_zh,subitem_en,content_zh,content_en,review_status,source_id,source_locator_zh,source_locator_en,notes
hsk26-g1-001,1,1,1,语素,Morphemes,前缀,Prefixes,,,小—、第—,小—、第—,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17091,reference/HSK_SYLLABUS_EN.md:17093,
hsk26-g1-002,1,1,2,语素,Morphemes,后缀,Suffixes,,,—们、—边,—们、—边,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17092,reference/HSK_SYLLABUS_EN.md:17094,
hsk26-g1-003,1,1,3,词类,Word classes,名词,Nouns,方位名词,Location nouns,上、下、里、外、前、后,上、下、里、外、前、后,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17093,reference/HSK_SYLLABUS_EN.md:17095,
hsk26-g1-004,1,1,4,词类,Word classes,动词,Verbs,能愿动词,Modal verbs,会、能,会、能,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17094,reference/HSK_SYLLABUS_EN.md:17096,
hsk26-g1-005,1,1,5,词类,Word classes,动词,Verbs,能愿动词,Modal verbs,想、要,想、要,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17095,reference/HSK_SYLLABUS_EN.md:17097,
hsk26-g1-006,1,1,6,词类,Word classes,动词,Verbs,能愿动词,Modal verbs,可以,可以,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17096,reference/HSK_SYLLABUS_EN.md:17098,
hsk26-g1-007,1,1,7,词类,Word classes,动词,Verbs,离合词,Separable words,看病、睡觉、说话、上课、下课、上班、下班、生病,看病、睡觉、说话、上课、下课、上班、下班、生病,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17097,reference/HSK_SYLLABUS_EN.md:17099,
hsk26-g1-008,1,1,8,词类,Word classes,代词,Pronouns,疑问代词,Interrogative pronouns,多、多少、几、哪、哪儿、哪里、哪些、什么、谁、怎么、怎么样,多、多少、几、哪、哪儿、哪里、哪些、什么、谁、怎么、怎么样,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17098,reference/HSK_SYLLABUS_EN.md:17100,
hsk26-g1-009,1,1,9,词类,Word classes,代词,Pronouns,人称代词,Personal pronouns,我、你、您、他、她、我们、你们、他们、她们、它、它们、大家,我、你、您、他、她、我们、你们、他们、她们、它、它们、大家,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17099,reference/HSK_SYLLABUS_EN.md:17101,
hsk26-g1-010,1,1,10,词类,Word classes,代词,Pronouns,指示代词,Demonstrative pronouns,这、那、这儿、那儿、这里、那里、这些、那些、有的、这个、那个、有些,这、那、这儿、那儿、这里、那里、这些、那些、有的、这个、那个、有些,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17100,reference/HSK_SYLLABUS_EN.md:17102,
hsk26-g1-011,1,1,11,词类,Word classes,数词,Numerals,,,一、二/两、三、四、五、六、七、八、九、零、十、百、半、千,一、二/两、三、四、五、六、七、八、九、零、十、百、半、千,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17101,reference/HSK_SYLLABUS_EN.md:17103,
hsk26-g1-012,1,1,12,词类,Word classes,量词,Measure words,名量词,Nominal measure words,（1）专用名量词：本、个、家、口、块、件、只、元,（1）dedicated nominal measure words: 本、个、家、口、块、件、只、元,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17102,reference/HSK_SYLLABUS_EN.md:17104,
hsk26-g1-013,1,1,13,词类,Word classes,量词,Measure words,名量词,Nominal measure words,（2）借用名量词：杯,（2）borrowed nominal measure words: 杯,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17103,reference/HSK_SYLLABUS_EN.md:17105,
hsk26-g1-014,1,1,14,词类,Word classes,量词,Measure words,时量词,Time measure words,日、号、岁、点、分、年、天,日、号、岁、点、分、年、天,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17104,reference/HSK_SYLLABUS_EN.md:17106,
hsk26-g1-015,1,1,15,词类,Word classes,副词,Adverbs,程度副词,Degree adverbs,非常、很、太、真、有（一）点儿,非常、很、太、真、有（一）点儿,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17105,reference/HSK_SYLLABUS_EN.md:17107,
hsk26-g1-016,1,1,16,词类,Word classes,副词,Adverbs,范围副词,Scope adverbs,都1,都1,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17106,reference/HSK_SYLLABUS_EN.md:17108,
hsk26-g1-017,1,1,17,词类,Word classes,副词,Adverbs,时间副词,Time adverbs,在、正在,在、正在,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17107,reference/HSK_SYLLABUS_EN.md:17109,
hsk26-g1-018,1,1,18,词类,Word classes,副词,Adverbs,频率副词,Frequency adverbs,再1,再1,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17108,reference/HSK_SYLLABUS_EN.md:17110,
hsk26-g1-019,1,1,19,词类,Word classes,副词,Adverbs,关联副词,Correlative adverbs,还1、也,还1、也,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17109,reference/HSK_SYLLABUS_EN.md:17111,
hsk26-g1-020,1,1,20,词类,Word classes,副词,Adverbs,否定副词,Negative adverbs,不、没（有）、不要,不、没（有）、不要,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17110,reference/HSK_SYLLABUS_EN.md:17112,
hsk26-g1-021,1,1,21,词类,Word classes,介词,Prepositions,引出时间、处所,introducing time or place,在,在,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17111,reference/HSK_SYLLABUS_EN.md:17113,
hsk26-g1-022,1,1,22,词类,Word classes,介词,Prepositions,引出对象,introducing an object/target,和1、对,和1、对,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17112,reference/HSK_SYLLABUS_EN.md:17114,
hsk26-g1-023,1,1,23,词类,Word classes,连词,Conjunctions,连接词语或短语,connecting words or phrases,和2,和2,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17113,reference/HSK_SYLLABUS_EN.md:17115,
hsk26-g1-024,1,1,24,词类,Word classes,助词,Particles,结构助词,Structural particles,的1,的1,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17114,reference/HSK_SYLLABUS_EN.md:17116,
hsk26-g1-025,1,1,25,词类,Word classes,助词,Particles,动态助词,Aspect particles,了1,了1,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17115,reference/HSK_SYLLABUS_EN.md:17117,
hsk26-g1-026,1,1,26,词类,Word classes,助词,Particles,语气助词,Modal particles,吧1、了2 、吗、呢1、呢2、呢3,吧1、了2 、吗、呢1、呢2、呢3,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17116,reference/HSK_SYLLABUS_EN.md:17118,
hsk26-g1-027,1,1,27,词类,Word classes,叹词,Interjections,,,喂,喂,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17117,reference/HSK_SYLLABUS_EN.md:17119,
hsk26-g1-028,1,1,28,短语,Phrases,结构类型,Structural types,基本结构类型,Basic structural types,（1）联合短语,(1) coordinate phrases,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17118,reference/HSK_SYLLABUS_EN.md:17120,
hsk26-g1-029,1,1,29,短语,Phrases,结构类型,Structural types,基本结构类型,Basic structural types,（2）偏正短语,(2) modifier-head phrases,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17119,reference/HSK_SYLLABUS_EN.md:17121,
hsk26-g1-030,1,1,30,短语,Phrases,结构类型,Structural types,基本结构类型,Basic structural types,（3）动宾短语,(3) verb-object phrases,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17120,reference/HSK_SYLLABUS_EN.md:17122,
hsk26-g1-031,1,1,31,短语,Phrases,结构类型,Structural types,基本结构类型,Basic structural types,（4）主谓短语,(4) subject-predicate phrases,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17121,reference/HSK_SYLLABUS_EN.md:17123,
hsk26-g1-032,1,1,32,短语,Phrases,结构类型,Structural types,其他结构类型,Other structural types,（1）数量短语,(1) numeral-measure phrases,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17122,reference/HSK_SYLLABUS_EN.md:17124,
hsk26-g1-033,1,1,33,短语,Phrases,结构类型,Structural types,其他结构类型,Other structural types,（2）介宾短语,(2) preposition-object phrases,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17123,reference/HSK_SYLLABUS_EN.md:17125,
hsk26-g1-034,1,1,34,短语,Phrases,结构类型,Structural types,其他结构类型,Other structural types,（3）方位短语,(3) location phrases,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17124,reference/HSK_SYLLABUS_EN.md:17126,
hsk26-g1-035,1,1,35,句子成分,Sentence components,主语,Subject,,,名词、代词或名词性短语作主语,"nouns, pronouns, or nominal phrases functioning as the subject",syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17125,reference/HSK_SYLLABUS_EN.md:17127,
hsk26-g1-036,1,1,36,句子成分,Sentence components,谓语,Predicate,,,名词、代词、数词或数量短语作谓语,"nouns, pronouns, numerals, or numeral-measure phrases functioning as the predicate",syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17126,reference/HSK_SYLLABUS_EN.md:17128,
hsk26-g1-037,1,1,37,句子成分,Sentence components,谓语,Predicate,,,动词或动词性短语、形容词或形容词性短语作谓语,"verbs/verbal phrases, adjectives/adjectival phrases functioning as the predicate",syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17127,reference/HSK_SYLLABUS_EN.md:17129,
hsk26-g1-038,1,1,38,句子成分,Sentence components,宾语,Object,,,名词、代词或名词性短语作宾语,"nouns, pronouns, or nominal phrases functioning as the object",syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17128,reference/HSK_SYLLABUS_EN.md:17130,
hsk26-g1-039,1,1,39,句子成分,Sentence components,定语,Attributive,,,名词性词语、形容词性短语、数量短语作定语,"nominal expressions, adjectival phrases, and numeral-measure phrases functioning as attributives",syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17129,reference/HSK_SYLLABUS_EN.md:17131,
hsk26-g1-040,1,1,40,句子成分,Sentence components,状语,Adverbial,,,副词、形容词作状语表示时间、处所的词语作状语,adverbs and adjectives functioning as adverbials; expressions indicating time or place functioning as adverbials,syllabus_only,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:17130,reference/HSK_SYLLABUS_EN.md:17132,
