hanzi_id,hanzi,recognition_level_min,recognition_level_max,writing_level_min,writing_level_max,curation_status,source_id,source_locator,writing_source_locator,notes
hanzi_7231,爱,1,1,1,2,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12736,reference/HSK_SYLLABUS_ZH.md:15859,
hanzi_516b,八,1,1,1,2,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12737,reference/HSK_SYLLABUS_ZH.md:15860,
hanzi_7238,爸,1,1,1,2,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12738,reference/HSK_SYLLABUS_ZH.md:15861,
hanzi_5427,吧,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12739,,
hanzi_767d,白,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12740,,
hanzi_767e,百,1,1,1,2,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12741,reference/HSK_SYLLABUS_ZH.md:15862,
hanzi_73ed,班,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12742,,
hanzi_534a,半,1,1,1,2,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12743,reference/HSK_SYLLABUS_ZH.md:15863,
hanzi_5305,包,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12744,,
hanzi_676f,杯,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12745,,
hanzi_672c,本,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12746,,
hanzi_8fb9,边,1,1,1,2,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12747,reference/HSK_SYLLABUS_ZH.md:15865,
hanzi_4fbf,便,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12748,,
hanzi_75c5,病,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12749,,
hanzi_4e0d,不,1,1,1,2,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12750,reference/HSK_SYLLABUS_ZH.md:15866,
hanzi_83dc,菜,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12751,,
hanzi_8336,茶,1,1,1,2,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12752,reference/HSK_SYLLABUS_ZH.md:15867,
hanzi_5e38,常,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12753,,
hanzi_5531,唱,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12754,,
hanzi_8d85,超,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12755,,
hanzi_8f66,车,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12756,,
hanzi_5403,吃,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12757,,
hanzi_51fa,出,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12758,,
hanzi_7a7f,穿,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12759,,
hanzi_5e8a,床,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12760,,
hanzi_6253,打,1,1,1,2,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12761,reference/HSK_SYLLABUS_ZH.md:15868,
hanzi_5927,大,1,1,1,2,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12762,reference/HSK_SYLLABUS_ZH.md:15869,
hanzi_86cb,蛋,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12763,,
hanzi_5230,到,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12764,,
hanzi_9053,道,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12765,,
hanzi_5f97,得,1,1,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:12766,,
