vocab_id,syllabus_order,level_min,level_max,level_raw,additional_levels,hanzi,syllabus_form,sense_number,syllabus_pinyin,pinyin,pinyin_search,pinyin_numeric,syllabus_part_of_speech_zh,part_of_speech_zh,example_zh,example_review_status,curation_status,source_id,source_locator,notes
hsk26-v00001,1,1,1,1,,爱,爱,,ài,ài,ài,ai4,动,动,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1729,
hsk26-v00002,2,1,1,1,,八,八,,bā,bā,bā,ba1,数,数,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1730,
hsk26-v00003,3,1,1,1,,爸爸,爸爸,,bàba,bàba,bàba,ba4ba,名,名,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1731,
hsk26-v00004,4,1,1,1,,吧,吧,,ba,ba,ba,ba,助,助,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1732,
hsk26-v00005,5,1,1,1,,白天,白天,,báitiān,báitiān,báitiān,bai2tian1,名,名,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1733,
hsk26-v00006,6,1,1,1,,百,百,,bǎi,bǎi,bǎi,bai3,数,数,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1734,
hsk26-v00007,7,1,1,1（4）,4,半,半,,bàn,bàn,bàn,ban4,数、（副）,数、（副）,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1735,
hsk26-v00008,8,1,1,1,,包子,包子,,bāozi,bāozi,bāozi,bao1zi,名,名,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1736,
hsk26-v00009,9,1,1,1,,杯子,杯子,,bēizi,bēizi,bēizi,bei1zi,名,名,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1737,
hsk26-v00010,10,1,1,1,,本,本1,1,běn,běn,běn,ben3,量,量,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1738,
hsk26-v00011,11,1,1,1,,边,边,,biān,biān,biān,bian1,名、后缀,名、后缀,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1739,
hsk26-v00012,12,1,1,1,,病,病,,bìng,bìng,bìng,bing4,名、动,名、动,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1740,
hsk26-v00013,13,1,1,1,,不,不,,bù,bù,bù,bu4,副,副,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1741,
hsk26-v00014,14,1,1,1,,不客气,不客气,,bú kèqi,búkèqi,búkèqi,bu2ke4qi,,,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1742,
hsk26-v00015,15,1,1,1,,不要,不要,,búyào,búyào,búyào,bu2yao4,副,副,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1743,
hsk26-v00016,16,1,1,1,,菜,菜,,cài,cài,cài,cai4,名,名,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1744,
hsk26-v00017,17,1,1,1,,茶,茶,,chá,chá,chá,cha2,名,名,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1745,
hsk26-v00018,18,1,1,1,,唱,唱,,chàng,chàng,chàng,chang4,动,动,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1746,
hsk26-v00019,19,1,1,1,,超市,超市,,chāoshì,chāoshì,chāoshì,chao1shi4,名,名,,,legacy_unreviewed,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:1747,
