grammar_lesson_id,active,level_display_order,notes
glesson_1412363f764e4b6e804c4a579f649313,true,1,
glesson_47131ae8ea394437a5297f42b342b73d,true,2,
glesson_a9c2ecd6c785436fa03139619ca2affd,true,3,
glesson_6fbcb4305c5d4a5d88bf76bae817835f,true,4,
glesson_5e7f55241f214616ac7cde0dbdddfd71,true,5,
glesson_5a426c2d10734028a3898347249529d4,true,6,
glesson_bb78882713cf4b49876d78dacf6ebf54,true,7,
glesson_43642677d6364b81a48e4506d8a0105c,true,8,
glesson_1a3df179f68d4d33aa38254927c24dbc,true,9,
glesson_6360c8ccc591431488f7006797127eb7,true,10,
glesson_d7cad090d9554245a5dbed09caa87826,true,11,
glesson_92993e435fd2485884e66731507a89a7,true,12,
glesson_ffcb8ee873944afc831b07219d8b60c4,true,13,
glesson_366fff0d896542d0921adc449244e8df,true,14,
glesson_16cda7aefaaf49eebd4327366d43cb10,true,15,
glesson_4352b1a2159746fd89c742e39cd0668f,true,16,
glesson_ba7347a31d784cbca5182e1d566478fe,true,17,
glesson_25b211801b454d9ba2a99a519ff3d998,true,18,
glesson_7fb2f8481a4c4d02942993747c989fcc,true,19,
glesson_8045fc9617b844d1bea15d13eeab2498,true,20,
glesson_774188c53155422ea5f9f9d9176814f4,true,21,
glesson_74aaea9ca06346b8b9c1126fb6e0915e,true,22,
glesson_0e77d991e9a346519efa66a6c5882497,true,23,
glesson_a74fcd39ad2c4fb59a14ed3cf69e5f45,true,24,
glesson_1a09481348024cffac4caba31e71ccb6,true,25,
glesson_5a0310b4cf854089997508807c121c78,true,26,
glesson_b94351c5fad2413b9981abea6bd8ba95,true,27,
glesson_8a50ad5ec1cf47199bad98e7b15fbbfb,true,28,
glesson_2168b15d20824e47b75dfa55e28dbf3b,true,29,
glesson_1fc581dad530442fa886235a4e4f7d9d,true,30,
glesson_4d919eed7b9347febdef9633d1781586,true,31,
glesson_550e903fb0ab4a659570c5c0220af87d,true,32,
glesson_627f84e67bba43b397e2c78ba24d0683,true,33,
glesson_9a5f822d74fe4c839e358a1bc3acfd9b,true,34,
glesson_29e6003d76324040b5569af989f757da,true,35,
glesson_4eb138b94d8f4d2995ed9c5d082a8f28,true,36,
glesson_a7ca54ff385649f5a6c3f1bfa66f4cba,true,37,
glesson_537d191c1b5c4bb596cb5b0152173131,true,38,
glesson_27ecd777a2564adaafe8770a1d6b61ba,true,39,
glesson_fc44a931c80d4e79b32a28b5c7e4c29c,true,40,
glesson_59f6ebf93bea45fc8fd173609a6b93f7,true,41,
glesson_d3d1433d431346659fad3a64d2d182b4,true,42,
glesson_65cef66ccadb4bda94ba9c6ba8ee5533,true,43,
glesson_605ba97eb84f4d5980bf26497ddab505,true,44,
glesson_30e3fcafb95040e2a6f3deee108b10e8,true,45,
glesson_516cbfcecf1e41348048f4929d6e3627,true,46,
glesson_09d85cc1ba6e4814b12be153e06f304c,true,47,
glesson_c64087e117dd44169bd7781d5af92a73,true,48,
glesson_9cce8dd18eab4193b8fd140c593e243a,true,49,
glesson_53b9d25d39a241d0a380f9f6971ed5b3,true,50,
glesson_9529a9ee5dd346bcb03610816cefc5c7,true,51,
glesson_7e7ea63f64d44d4882dfecb1f9a1b809,true,52,
glesson_cd34aec214fe4a9cabbf2f3af75c073c,true,53,
glesson_a969cfb59bc94ffe9e4cfe7d987bed9c,true,54,
glesson_2591dabcc1884f9abb97f4a2f22ff0b6,true,55,
glesson_da3d25b747b946389f9953cd5238b2f2,true,56,
glesson_63b7cbccafa74b23bbd5aa16e6d062da,true,57,
glesson_48a062355f864c48b758a0b01ef35199,true,58,
glesson_2d8af7f2d3cf4844a8b8092c733e4ae6,true,59,
glesson_db21663d6ac94570a7bf0deebcd4c748,true,60,
glesson_2232c0c8bc1142afa9218cd5d1ed8c8b,true,61,
glesson_1c532271cd2640b49271c5a329873b24,true,62,
glesson_e905b001675443aca8517dd361e94872,true,63,
glesson_36fbed7cb60f418fb1fcde9d82fc8d3c,true,64,
glesson_f5920fa0a3c042a48c647c76dd37c313,true,65,
