runtime_order,card_id,reading_id,level
1,hanzi_7231,hanzi_7231-legacy-reading,1
2,hanzi_516b,hanzi_516b-legacy-reading,1
3,hanzi_7238,hanzi_7238-legacy-reading,1
4,hanzi_5427,hanzi_5427-legacy-reading,1
5,hanzi_767d,hanzi_767d-legacy-reading,1
6,hanzi_767e,hanzi_767e-legacy-reading,1
7,hanzi_73ed,hanzi_73ed-legacy-reading,1
8,hanzi_534a,hanzi_534a-legacy-reading,1
9,hanzi_5305,hanzi_5305-legacy-reading,1
10,hanzi_676f,hanzi_676f-legacy-reading,1
11,hanzi_672c,hanzi_672c-legacy-reading,1
12,hanzi_8fb9,hanzi_8fb9-legacy-reading,1
13,hanzi_4fbf,hanzi_4fbf-legacy-reading,1
14,hanzi_75c5,hanzi_75c5-legacy-reading,1
15,hanzi_4e0d,hanzi_4e0d-legacy-reading,1
16,hanzi_83dc,hanzi_83dc-legacy-reading,1
17,hanzi_8336,hanzi_8336-legacy-reading,1
18,hanzi_5e38,hanzi_5e38-legacy-reading,1
19,hanzi_5531,hanzi_5531-legacy-reading,1
20,hanzi_8d85,hanzi_8d85-legacy-reading,1
21,hanzi_8f66,hanzi_8f66-legacy-reading,1
22,hanzi_5403,hanzi_5403-legacy-reading,1
23,hanzi_51fa,hanzi_51fa-legacy-reading,1
24,hanzi_7a7f,hanzi_7a7f-legacy-reading,1
25,hanzi_5e8a,hanzi_5e8a-legacy-reading,1
26,hanzi_6253,hanzi_6253-legacy-reading,1
27,hanzi_5927,hanzi_5927-legacy-reading,1
28,hanzi_86cb,hanzi_86cb-legacy-reading,1
29,hanzi_5230,hanzi_5230-legacy-reading,1
30,hanzi_9053,hanzi_9053-legacy-reading,1
31,hanzi_5f97,hanzi_5f97-legacy-reading,1
32,hanzi_7684,hanzi_7684-legacy-reading,1
33,hanzi_5f1f,hanzi_5f1f-legacy-reading,1
34,hanzi_7b2c,hanzi_7b2c-legacy-reading,1
35,hanzi_70b9,hanzi_70b9-legacy-reading,1
36,hanzi_7535,hanzi_7535-legacy-reading,1
37,hanzi_5e97,hanzi_5e97-legacy-reading,1
38,hanzi_4e1c,hanzi_4e1c-legacy-reading,1
39,hanzi_90fd,hanzi_90fd-legacy-reading,1
40,hanzi_8bfb,hanzi_8bfb-legacy-reading,1
41,hanzi_5bf9,hanzi_5bf9-legacy-reading,1
42,hanzi_591a,hanzi_591a-legacy-reading,1
43,hanzi_513f,hanzi_513f-legacy-reading,1
44,hanzi_4e8c,hanzi_4e8c-legacy-reading,1
45,hanzi_996d,hanzi_996d-legacy-reading,1
46,hanzi_623f,hanzi_623f-legacy-reading,1
47,hanzi_98de,hanzi_98de-legacy-reading,1
48,hanzi_975e,hanzi_975e-legacy-reading,1
49,hanzi_5206,hanzi_5206-legacy-reading,1
50,hanzi_670d,hanzi_670d-legacy-reading,1
51,hanzi_9ad8,hanzi_9ad8-legacy-reading,1
52,hanzi_54e5,hanzi_54e5-legacy-reading,1
53,hanzi_6b4c,hanzi_6b4c-legacy-reading,1
54,hanzi_4e2a,hanzi_4e2a-legacy-reading,1
55,hanzi_7ed9,hanzi_7ed9-legacy-reading,1
56,hanzi_5de5,hanzi_5de5-legacy-reading,1
57,hanzi_516c,hanzi_516c-legacy-reading,1
58,hanzi_72d7,hanzi_72d7-legacy-reading,1
59,hanzi_5173,hanzi_5173-legacy-reading,1
60,hanzi_8d35,hanzi_8d35-legacy-reading,1
61,hanzi_56fd,hanzi_56fd-legacy-reading,1
62,hanzi_679c,hanzi_679c-legacy-reading,1
63,hanzi_8fd8,hanzi_8fd8-legacy-reading,1
64,hanzi_5b69,hanzi_5b69-legacy-reading,1
65,hanzi_6c49,hanzi_6c49-legacy-reading,1
66,hanzi_597d,hanzi_597d-legacy-reading,1
67,hanzi_53f7,hanzi_53f7-legacy-reading,1
68,hanzi_559d,hanzi_559d-legacy-reading,1
69,hanzi_548c,hanzi_548c-legacy-reading,1
70,hanzi_5f88,hanzi_5f88-legacy-reading,1
71,hanzi_540e,hanzi_540e-legacy-reading,1
72,hanzi_5019,hanzi_5019-legacy-reading,1
73,hanzi_8bdd,hanzi_8bdd-legacy-reading,1
74,hanzi_6b22,hanzi_6b22-legacy-reading,1
75,hanzi_56de,hanzi_56de-legacy-reading,1
