runtime_order,deck_order,card_id,sentence_id,active,direction,deck_id,deck_name,response_style,tags
1,1,hsk1_sent_zh_en_001,hsk1_sent_zh_en_001,true,zh_to_en,sentence_hsk1,HSK 1 sentence cards — 2026 syllabus aligned,direction_default,hsk1|hsk2026|sentence|zh_to_en
2,2,hsk1_sent_en_zh_001,hsk1_sent_en_zh_001,false,en_to_zh,sentence_hsk1,HSK 1 sentence cards — 2026 syllabus aligned,direction_default,hsk1|hsk2026|sentence|en_to_zh
3,3,hsk1_sent_zh_qa_001,hsk1_sent_zh_qa_001,false,zh_qa,sentence_hsk1,HSK 1 sentence cards — 2026 syllabus aligned,labeled_ab_lines,hsk1|hsk2026|sentence|zh_qa
4,1,hsk2_sent_zh_en_001,hsk2_sent_zh_en_001,true,zh_to_en,sentence_hsk2,HSK 2 sentence cards — 2026 syllabus aligned,direction_default,hsk2|hsk2026|sentence|zh_to_en
5,2,hsk2_sent_en_zh_001,hsk2_sent_en_zh_001,false,en_to_zh,sentence_hsk2,HSK 2 sentence cards — 2026 syllabus aligned,direction_default,hsk2|hsk2026|sentence|en_to_zh
6,3,hsk2_sent_zh_qa_001,hsk2_sent_zh_qa_001,false,zh_qa,sentence_hsk2,HSK 2 sentence cards — 2026 syllabus aligned,labeled_ab_lines,hsk2|hsk2026|sentence|zh_qa
7,1,hsk3_sent_zh_en_001,hsk3_sent_zh_en_001,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en
8,2,hsk3_sent_en_zh_001,hsk3_sent_en_zh_001,false,en_to_zh,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|en_to_zh
9,3,hsk3_sent_zh_qa_001,hsk3_sent_zh_qa_001,false,zh_qa,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,labeled_ab_lines,hsk3|hsk2026|sentence|zh_qa
10,4,hsk1_sent_zh_en_002,hsk1_sent_zh_en_002,true,zh_to_en,sentence_hsk1,HSK 1 sentence cards — 2026 syllabus aligned,direction_default,hsk1|hsk2026|sentence|zh_to_en
