runtime_order,vocab_id,legacy_storage_key,learn_default,practice_default
1,hsk26-v00001,idx:0,true,true
2,hsk26-v00002,idx:1,true,true
3,hsk26-v00003,idx:2,true,true
4,hsk26-v00004,idx:3,true,true
5,hsk26-v00005,idx:4,true,true
6,hsk26-v00006,idx:5,true,true
7,hsk26-v00007,idx:6,true,true
8,hsk26-v00008,idx:7,true,true
9,hsk26-v00009,idx:8,true,true
10,hsk26-v00010,idx:9,true,true
11,hsk26-v00011,idx:10,true,true
12,hsk26-v00012,idx:11,true,true
13,hsk26-v00013,idx:12,true,true
14,hsk26-v00014,idx:13,true,true
15,hsk26-v00015,idx:14,true,true
16,hsk26-v00016,idx:15,true,true
17,hsk26-v00017,idx:16,true,true
18,hsk26-v00018,idx:17,true,true
19,hsk26-v00019,idx:18,true,true
20,hsk26-v00020,idx:19,true,true
21,hsk26-v00021,idx:20,true,true
22,hsk26-v00022,idx:21,true,true
23,hsk26-v00023,idx:22,true,true
24,hsk26-v00024,idx:23,true,true
25,hsk26-v00025,idx:24,true,true
26,hsk26-v00026,idx:25,true,true
27,hsk26-v00027,idx:26,true,true
28,hsk26-v00028,idx:27,true,true
29,hsk26-v00029,idx:28,true,true
30,hsk26-v00030,idx:29,true,true
31,hsk26-v00031,idx:30,true,true
32,hsk26-v00032,idx:31,true,true
33,hsk26-v00033,idx:32,true,true
34,hsk26-v00034,idx:33,true,true
35,hsk26-v00035,idx:34,true,true
36,hsk26-v00036,idx:35,true,true
37,hsk26-v00037,idx:36,true,true
38,hsk26-v00038,idx:37,true,true
39,hsk26-v00039,idx:38,true,true
40,hsk26-v00040,idx:39,true,true
41,hsk26-v00041,idx:40,true,true
42,hsk26-v00042,idx:41,true,true
43,hsk26-v00043,idx:42,true,true
44,hsk26-v00044,idx:43,true,true
45,hsk26-v00045,idx:44,true,true
46,hsk26-v00046,idx:45,true,true
47,hsk26-v00047,idx:46,true,true
48,hsk26-v00048,idx:47,true,true
49,hsk26-v00049,idx:48,true,true
50,hsk26-v00050,idx:49,true,true
51,hsk26-v00051,idx:50,true,true
52,hsk26-v00052,idx:51,true,true
53,hsk26-v00053,idx:52,true,true
54,hsk26-v00054,idx:53,true,true
55,hsk26-v00055,idx:54,true,true
56,hsk26-v00056,idx:55,true,true
57,hsk26-v00057,idx:56,true,true
58,hsk26-v00058,idx:57,true,true
59,hsk26-v00059,idx:58,true,true
60,hsk26-v00060,idx:59,true,true
61,hsk26-v00061,idx:60,true,true
62,hsk26-v00062,idx:61,true,true
63,hsk26-v00063,idx:62,true,true
64,hsk26-v00064,idx:63,true,true
65,hsk26-v00065,idx:64,true,true
66,hsk26-v00066,idx:65,true,true
67,hsk26-v00067,idx:66,true,true
68,hsk26-v00068,idx:67,true,true
69,hsk26-v00069,idx:68,true,true
70,hsk26-v00070,idx:69,true,true
71,hsk26-v00071,idx:70,true,true
72,hsk26-v00072,idx:71,true,true
73,hsk26-v00073,idx:72,true,true
74,hsk26-v00074,idx:73,true,true
75,hsk26-v00075,idx:74,true,true
76,hsk26-v00076,idx:75,true,true
77,hsk26-v00077,idx:76,true,true
78,hsk26-v00078,idx:77,true,true
79,hsk26-v00079,idx:78,true,true
80,hsk26-v00080,idx:79,true,true
81,hsk26-v00081,idx:80,true,true
82,hsk26-v00082,idx:81,true,true
83,hsk26-v00083,idx:82,true,true
84,hsk26-v00084,idx:83,true,true
85,hsk26-v00085,idx:84,true,true
86,hsk26-v00086,idx:85,true,true
87,hsk26-v00087,idx:86,true,true
88,hsk26-v00088,idx:87,true,true
89,hsk26-v00089,idx:88,true,true
90,hsk26-v00090,idx:89,true,true
91,hsk26-v00091,idx:90,true,true
92,hsk26-v00092,idx:91,true,true
93,hsk26-v00093,idx:92,true,true
94,hsk26-v00094,idx:93,true,true
95,hsk26-v00095,idx:94,true,true
96,hsk26-v00096,idx:95,true,true
97,hsk26-v00097,idx:96,true,true
98,hsk26-v00098,idx:97,true,true
99,hsk26-v00099,idx:98,true,true
100,hsk26-v00100,idx:99,true,true
101,hsk26-v00101,idx:100,true,true
102,hsk26-v00102,idx:101,true,true
103,hsk26-v00103,idx:102,true,true
104,hsk26-v00104,idx:103,true,true
105,hsk26-v00105,idx:104,true,true
106,hsk26-v00106,idx:105,true,true
107,hsk26-v00107,idx:106,true,true
108,hsk26-v00108,idx:107,true,true
109,hsk26-v00109,idx:108,true,true
110,hsk26-v00110,idx:109,true,true
111,hsk26-v00111,idx:110,true,true
112,hsk26-v00112,idx:111,true,true
113,hsk26-v00113,idx:112,true,true
114,hsk26-v00114,idx:113,true,true
115,hsk26-v00115,idx:114,true,true
116,hsk26-v00116,idx:115,true,true
117,hsk26-v00117,idx:116,true,true
118,hsk26-v00118,idx:117,true,true
119,hsk26-v00119,idx:118,true,true
120,hsk26-v00120,idx:119,true,true
121,hsk26-v00121,idx:120,true,true
122,hsk26-v00122,idx:121,true,true
123,hsk26-v00123,idx:122,true,true
124,hsk26-v00124,idx:123,true,true
125,hsk26-v00125,idx:124,true,true
