grammar_point_id,level,row_order,category_zh,category_en,review_status,primary_lesson_id,primary_mapping_count,primary_lesson_active,element_count,primary_element_mapping_count,demonstrating_example_count,vocabulary_exception_surfaces,complete
hsk26-g1-001,1,1,语素,Morphemes,approved,glesson_1412363f764e4b6e804c4a579f649313,1,true,2,2,2,,true
hsk26-g1-002,1,2,语素,Morphemes,approved,glesson_47131ae8ea394437a5297f42b342b73d,1,true,2,2,4,,true
hsk26-g1-003,1,3,词类,Word classes,approved,glesson_a9c2ecd6c785436fa03139619ca2affd,1,true,6,6,2,,true
hsk26-g1-004,1,4,词类,Word classes,approved,glesson_6fbcb4305c5d4a5d88bf76bae817835f,1,true,2,2,4,,true
hsk26-g1-005,1,5,词类,Word classes,approved,glesson_5e7f55241f214616ac7cde0dbdddfd71,1,true,2,2,4,,true
hsk26-g1-006,1,6,词类,Word classes,approved,glesson_5a426c2d10734028a3898347249529d4,1,true,1,1,3,,true
hsk26-g1-007,1,7,词类,Word classes,approved,glesson_bb78882713cf4b49876d78dacf6ebf54,1,true,8,8,4,,true
hsk26-g1-008,1,8,词类,Word classes,approved,glesson_43642677d6364b81a48e4506d8a0105c,1,true,11,11,4,,true
hsk26-g1-009,1,9,词类,Word classes,approved,glesson_1a3df179f68d4d33aa38254927c24dbc,1,true,12,12,2,,true
hsk26-g1-010,1,10,词类,Word classes,approved,glesson_6360c8ccc591431488f7006797127eb7,1,true,12,12,2,,true
hsk26-g1-011,1,11,词类,Word classes,approved,glesson_d7cad090d9554245a5dbed09caa87826,1,true,15,15,2,,true
hsk26-g1-012,1,12,词类,Word classes,approved,glesson_92993e435fd2485884e66731507a89a7,1,true,8,8,2,,true
hsk26-g1-013,1,13,词类,Word classes,approved,glesson_ffcb8ee873944afc831b07219d8b60c4,1,true,1,1,3,杯,true
hsk26-g1-014,1,14,词类,Word classes,approved,glesson_366fff0d896542d0921adc449244e8df,1,true,7,7,2,,true
hsk26-g1-015,1,15,词类,Word classes,approved,glesson_16cda7aefaaf49eebd4327366d43cb10,1,true,5,5,2,,true
hsk26-g1-016,1,16,词类,Word classes,approved,glesson_4352b1a2159746fd89c742e39cd0668f,1,true,1,1,3,,true
hsk26-g1-017,1,17,词类,Word classes,approved,glesson_ba7347a31d784cbca5182e1d566478fe,1,true,2,2,3,,true
hsk26-g1-018,1,18,词类,Word classes,approved,glesson_25b211801b454d9ba2a99a519ff3d998,1,true,1,1,2,,true
hsk26-g1-019,1,19,词类,Word classes,approved,glesson_7fb2f8481a4c4d02942993747c989fcc,1,true,2,2,2,,true
hsk26-g1-020,1,20,词类,Word classes,approved,glesson_8045fc9617b844d1bea15d13eeab2498,1,true,3,3,3,,true
hsk26-g1-021,1,21,词类,Word classes,approved,glesson_774188c53155422ea5f9f9d9176814f4,1,true,1,1,2,,true
hsk26-g1-022,1,22,词类,Word classes,approved,glesson_74aaea9ca06346b8b9c1126fb6e0915e,1,true,2,2,3,,true
hsk26-g1-023,1,23,词类,Word classes,approved,glesson_0e77d991e9a346519efa66a6c5882497,1,true,1,1,2,,true
hsk26-g1-024,1,24,词类,Word classes,approved,glesson_a74fcd39ad2c4fb59a14ed3cf69e5f45,1,true,1,1,3,,true
hsk26-g1-025,1,25,词类,Word classes,approved,glesson_1a09481348024cffac4caba31e71ccb6,1,true,1,1,3,,true
hsk26-g1-026,1,26,词类,Word classes,approved,glesson_5a0310b4cf854089997508807c121c78,1,true,6,6,6,,true
hsk26-g1-027,1,27,词类,Word classes,approved,glesson_b94351c5fad2413b9981abea6bd8ba95,1,true,1,1,2,,true
hsk26-g1-028,1,28,短语,Phrases,approved,glesson_8a50ad5ec1cf47199bad98e7b15fbbfb,1,true,1,1,2,,true
hsk26-g1-029,1,29,短语,Phrases,approved,glesson_2168b15d20824e47b75dfa55e28dbf3b,1,true,1,1,2,,true
hsk26-g1-030,1,30,短语,Phrases,approved,glesson_1fc581dad530442fa886235a4e4f7d9d,1,true,1,1,2,,true
hsk26-g1-031,1,31,短语,Phrases,approved,glesson_4d919eed7b9347febdef9633d1781586,1,true,1,1,2,,true
hsk26-g1-032,1,32,短语,Phrases,approved,glesson_550e903fb0ab4a659570c5c0220af87d,1,true,1,1,3,,true
hsk26-g1-033,1,33,短语,Phrases,approved,glesson_627f84e67bba43b397e2c78ba24d0683,1,true,1,1,2,,true
hsk26-g1-034,1,34,短语,Phrases,approved,glesson_9a5f822d74fe4c839e358a1bc3acfd9b,1,true,1,1,2,,true
hsk26-g1-035,1,35,句子成分,Sentence components,approved,glesson_29e6003d76324040b5569af989f757da,1,true,3,3,2,,true
hsk26-g1-036,1,36,句子成分,Sentence components,approved,glesson_4eb138b94d8f4d2995ed9c5d082a8f28,1,true,4,4,3,,true
hsk26-g1-037,1,37,句子成分,Sentence components,approved,glesson_a7ca54ff385649f5a6c3f1bfa66f4cba,1,true,2,2,2,,true
hsk26-g1-038,1,38,句子成分,Sentence components,approved,glesson_537d191c1b5c4bb596cb5b0152173131,1,true,3,3,3,,true
hsk26-g1-039,1,39,句子成分,Sentence components,approved,glesson_27ecd777a2564adaafe8770a1d6b61ba,1,true,3,3,2,,true
