vocab_id,level,hanzi,sense_number,product_active,published_surface_count,published_explicit_count,approved_surface_count,approved_explicit_count,published_surface_target_met,published_explicit_target_met,approved_surface_target_met,approved_explicit_target_met,curation_status
hsk26-v00001,1,爱,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00002,1,八,,True,7,7,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00003,1,爸爸,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00004,1,吧,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00005,1,白天,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00006,1,百,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00007,1,半,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00008,1,包子,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00009,1,杯子,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00010,1,本,1,True,8,8,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00011,1,边,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00012,1,病,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00013,1,不,,True,72,72,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00014,1,不客气,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00015,1,不要,,True,9,9,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00016,1,菜,,True,7,7,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00017,1,茶,,True,11,11,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00018,1,唱,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00019,1,超市,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00020,1,车,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00021,1,吃,,True,23,23,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00022,1,出租车,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00023,1,穿,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00024,1,打电话,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00025,1,大,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00026,1,大家,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00027,1,大学,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00028,1,大学生,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00029,1,到,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00030,1,的,,True,30,30,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00031,1,第,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00032,1,弟弟,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00033,1,点,1,True,19,19,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00034,1,店,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00035,1,电话,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00036,1,电脑,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00037,1,电视,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00038,1,电影,,True,9,9,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00039,1,电影院,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00040,1,东西,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00041,1,都,,True,13,13,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00042,1,读,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00043,1,读书,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00044,1,对,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00045,1,对不起,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00046,1,多,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00047,1,多少,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00048,1,儿子,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00049,1,二,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00050,1,饭,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00051,1,饭店,,True,9,9,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00052,1,房间,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00053,1,非常,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00054,1,飞机,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00055,1,分,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00056,1,分钟,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00057,1,高兴,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00058,1,歌,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00059,1,哥哥,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00060,1,个,,True,8,8,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00061,1,给,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00062,1,公司,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00063,1,工作,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00064,1,狗,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00065,1,贵,,True,7,7,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00066,1,国,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00067,1,还,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00068,1,孩子,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00069,1,汉语,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00070,1,汉字,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00071,1,好,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00072,1,好吃,,True,8,8,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00073,1,好看,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00074,1,好听,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00075,1,好玩儿,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00076,1,号,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00077,1,喝,,True,14,14,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00078,1,和,1,True,12,12,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00079,1,很,,True,29,29,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00080,1,后,,True,10,10,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00081,1,回,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00082,1,会,1,True,14,14,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00083,1,火车,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00084,1,鸡蛋,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00085,1,几,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00086,1,家,,True,16,16,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00087,1,家人,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00088,1,见,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00089,1,件,,True,7,7,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00090,1,饺子,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00091,1,叫,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00092,1,姐姐,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00093,1,今年,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00094,1,今天,,True,19,19,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00095,1,九,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00096,1,觉得,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00097,1,开,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00098,1,开车,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00099,1,看,,True,15,15,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00100,1,看病,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00101,1,看见,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00102,1,可以,,True,8,8,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00103,1,课,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00104,1,口,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00105,1,块,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00106,1,来,,True,11,11,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00107,1,老师,,True,15,15,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00108,1,了,,True,32,32,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00109,1,冷,,True,7,7,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00110,1,里,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00111,1,两,1,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00112,1,零,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00113,1,六,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00114,1,妈妈,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00115,1,吗,,True,71,71,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00116,1,买,,True,15,15,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00117,1,卖,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00118,1,忙,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00119,1,猫,,True,7,7,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00120,1,没关系,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00121,1,没事,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00122,1,没有,,True,21,21,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00123,1,妹妹,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00124,1,们,,True,31,31,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00125,1,米饭,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00126,1,面包,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00127,1,面条儿,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00128,1,明年,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00129,1,明天,,True,7,7,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00130,1,名字,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00131,1,哪,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00132,1,哪个,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00133,1,哪里,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00134,1,哪儿,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00135,1,哪些,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00136,1,那,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
